No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
258.65,2013.37,21.36,23.38,6.12,24.96,121.57,35.95
414.0,2013.25,12.66,2396.25,3.24,24.98,121.52,39.74
414.0,2013.31,24.46,440.64,3.96,25.01,121.57,29.56
184.76,2012.87,28.56,1854.22,1.51,25.01,121.47,28.78
235.07,2012.94,9.53,2395.62,4.76,25.01,121.52,21.92
261.02,2012.67,27.97,722.09,5.18,25.0,121.57,30.98
333.76,2013.35,10.24,3214.14,3.15,24.93,121.47,22.89
237.13,2013.29,36.99,2920.58,0.0,25.01,121.57,22.06
195.13,2013.31,25.23,1580.35,4.34,25.01,121.52,49.83
325.99,2013.0,43.8,651.38,3.19,24.98,121.55,34.32
215.19,2013.38,35.23,647.93,5.63,24.97,121.47,30.1
376.17,2013.28,20.08,23.38,5.27,24.98,121.49,41.79
164.93,2012.77,11.01,971.37,7.55,24.93,121.49,36.67
29.35,2013.03,24.69,23.38,7.54,25.01,121.52,53.34
188.72,2013.39,26.57,1967.09,3.39,24.93,121.52,14.23
75.08,2013.3,29.35,419.71,3.02,24.93,121.51,34.01
1.0,2013.58,31.34,113.82,8.39,25.01,121.5,49.67
55.41,2012.88,36.64,1403.24,4.77,24.93,121.53,51.55
289.89,2012.93,25.02,23.38,6.7,25.01,121.57,52.6
236.31,2013.45,0.0,2068.65,1.49,25.01,121.54,35.96
210.7,2012.97,25.04,23.38,2.09,24.93,121.57,38.18
245.37,2013.25,10.88,423.47,7.21,24.93,121.57,44.45
214.97,2013.08,7.18,1883.03,1.18,24.95,121.52,24.66
19.89,2012.86,4.73,671.23,6.7,25.01,121.55,38.38
182.92,2013.2,28.88,3821.2,0.14,24.94,121.53,7.6
138.47,2013.28,9.8,23.38,2.02,24.93,121.47,45.89
128.26,2013.43,33.06,1386.1,6.89,24.97,121.51,36.26
83.7,2012.99,0.0,1828.14,1.06,24.93,121.52,28.41
114.32,2013.25,16.6,2025.85,0.0,24.93,121.51,46.21
176.02,2012.74,0.0,1102.53,0.92,24.95,121.5,21.66
300.08,2013.58,20.98,23.38,10.0,24.97,121.57,43.32
14.42,2012.91,20.39,1243.12,3.31,24.93,121.56,42.48
293.95,2013.2,26.39,1125.24,1.07,24.93,121.56,35.29
385.74,2012.99,13.18,852.6,0.63,24.98,121.47,50.41
225.43,2013.44,21.25,1326.9,5.98,24.95,121.56,29.7
376.55,2013.33,25.09,23.38,10.0,24.98,121.47,52.36
155.72,2013.07,28.83,3606.57,0.48,24.93,121.47,23.09
359.44,2013.16,17.89,3764.45,0.0,24.96,121.47,15.57
84.58,2012.73,25.33,583.13,5.03,25.01,121.53,30.46
176.15,2013.12,24.14,23.38,5.41,25.01,121.49,43.74
341.72,2012.71,4.67,1481.61,6.02,24.94,121.57,30.53
33.97,2012.87,20.74,23.38,4.76,24.93,121.49,36.44
186.17,2013.11,10.63,45.82,6.32,25.01,121.54,50.3
174.25,2012.93,0.0,23.38,5.28,24.95,121.53,62.32
1.0,2013.23,15.08,1797.81,2.11,24.98,121.49,47.83
200.89,2013.31,41.82,23.38,6.06,25.01,121.51,47.46
189.7,2013.24,14.31,1740.88,2.73,24.93,121.55,34.51
108.09,2013.57,24.03,1621.4,5.67,24.93,121.51,30.01
335.21,2013.18,32.89,23.38,4.48,24.93,121.56,15.68
291.69,2013.03,37.09,183.8,6.72,24.93,121.57,38.59
183.99,2012.89,36.38,4034.03,1.39,24.93,121.52,32.73
73.11,2013.21,36.22,173.0,9.18,24.93,121.57,28.03
128.15,2013.31,12.07,1197.24,5.53,25.01,121.53,43.75
220.84,2013.14,13.79,229.24,4.7,24.93,121.53,59.27
140.51,2012.9,14.36,1050.64,0.0,25.0,121.53,11.63
109.91,2013.26,14.7,1405.86,4.02,24.98,121.57,41.37
386.78,2013.58,27.69,1895.12,4.48,24.93,121.54,39.36
135.76,2013.16,31.37,23.38,8.17,25.01,121.57,48.95
95.21,2013.3,13.16,23.38,5.45,24.96,121.57,43.17
48.46,2013.17,18.1,96.44,8.23,24.93,121.57,53.87
277.32,2013.09,25.27,1564.57,1.32,25.0,121.53,23.74
274.79,2013.12,37.57,131.02,8.01,25.01,121.57,33.08
414.0,2013.19,0.0,1889.47,3.43,24.99,121.57,32.07
20.07,2013.31,3.84,5238.36,0.0,24.93,121.47,7.6
1.0,2012.92,7.69,1404.5,6.01,24.93,121.57,48.83
239.56,2013.07,19.36,1488.93,0.14,24.94,121.53,25.86
253.01,2013.42,17.84,1801.82,2.65,25.0,121.55,44.98
122.78,2013.31,21.36,1986.12,4.28,25.01,121.5,32.57
341.26,2012.67,28.7,242.89,4.97,24.96,121.56,28.64
245.59,2013.1,24.38,1171.12,2.84,24.94,121.47,38.48
414.0,2013.36,39.69,1042.0,6.35,24.95,121.52,35.9
72.65,2013.35,24.15,1996.13,6.42,24.93,121.52,28.67
257.36,2012.67,20.38,23.38,6.5,24.98,121.48,47.05
76.11,2013.18,38.6,2352.43,0.66,24.93,121.57,21.82
300.1,2013.14,10.28,1216.69,3.67,24.93,121.56,58.36
177.26,2013.3,24.6,23.38,8.05,24.95,121.57,70.43
141.83,2013.22,19.59,712.37,5.2,24.98,121.5,50.57
287.45,2013.34,41.77,904.85,5.44,24.97,121.53,32.83
246.29,2013.2,43.8,719.98,6.91,24.97,121.57,29.49
293.17,2013.05,28.26,629.44,5.65,24.93,121.54,24.71
72.25,2013.04,15.05,3393.89,3.84,24.93,121.57,37.3
147.71,2013.44,15.6,626.33,2.26,24.93,121.54,40.86
123.42,2013.49,5.3,2676.98,0.35,24.93,121.47,26.65
189.96,2013.11,43.8,3249.64,0.0,25.01,121.56,14.59
348.1,2013.11,5.91,23.38,7.85,24.96,121.54,67.48
308.02,2013.47,9.71,23.38,7.47,25.01,121.54,49.23
197.71,2012.75,26.66,1427.2,4.58,24.93,121.48,35.02
159.15,2013.52,0.84,1889.62,4.03,24.96,121.52,35.84
127.0,2013.58,21.31,1263.39,0.0,24.93,121.55,32.74
129.52,2012.81,34.93,3049.28,1.47,24.95,121.47,13.31
245.76,2013.58,10.89,2269.27,4.67,25.0,121.55,56.35
13.65,2013.13,26.49,767.89,2.21,24.97,121.52,37.97
307.79,2012.67,30.69,159.53,7.1,25.01,121.54,33.25
163.32,2012.99,39.39,175.01,6.55,25.0,121.53,35.38
346.54,2013.05,27.3,1856.13,5.78,24.95,121.47,24.95
301.78,2013.46,5.41,3174.18,0.0,24.93,121.47,17.53
1.0,2013.49,15.61,1942.9,3.54,24.98,121.47,41.27
232.83,2013.58,26.4,1098.97,7.6,24.93,121.57,49.58
1.0,2013.58,36.12,23.38,7.92,25.0,121.53,60.7
113.56,2013.25,16.21,1616.35,6.0,24.94,121.57,49.16
1.0,2013.07,18.69,717.47,3.21,24.93,121.51,49.82
166.96,2013.33,25.71,23.38,6.12,24.95,121.55,34.72
263.69,2013.21,17.54,885.35,5.38,24.98,121.53,42.48
235.14,2013.34,30.87,3586.32,1.58,24.93,121.57,7.6
229.81,2013.16,0.05,111.92,3.26,24.93,121.47,60.68
250.87,2012.67,18.9,2325.99,0.0,25.01,121.53,23.9
181.21,2013.38,28.1,1889.9,2.03,25.01,121.51,15.74
286.47,2012.9,10.45,1187.78,4.21,24.93,121.51,30.12
354.65,2013.13,18.17,1546.86,1.91,25.01,121.47,51.93
392.12,2013.27,17.66,2637.26,1.99,24.93,121.56,19.09
241.65,2012.98,25.34,1908.13,0.67,25.01,121.5,38.05
107.0,2012.98,0.0,23.38,6.41,24.98,121.57,42.23
292.53,2013.49,19.13,781.72,4.04,24.95,121.57,48.55
161.73,2013.31,16.95,3678.29,2.56,24.94,121.48,22.43
247.07,2013.15,16.43,1672.41,2.36,24.96,121.56,41.8
96.14,2013.03,35.51,23.38,8.16,24.94,121.52,48.61
362.68,2013.05,20.2,1323.25,3.81,24.93,121.47,21.81
130.39,2013.25,14.37,2250.05,1.95,24.93,121.52,30.46
167.13,2013.17,26.89,23.38,7.72,24.95,121.53,37.47
220.93,2012.77,6.05,1496.92,0.0,24.93,121.51,37.23
95.62,2013.58,18.95,1998.06,0.99,25.01,121.51,36.95
397.81,2013.05,6.52,427.39,0.03,25.0,121.49,44.95
165.89,2013.22,9.16,1796.11,1.81,24.93,121.55,40.79
40.69,2013.43,0.0,2153.58,2.03,25.01,121.57,30.99
200.88,2013.01,16.34,924.59,8.99,24.97,121.47,48.1
25.57,2013.58,37.23,1092.06,5.51,25.0,121.51,37.13
348.77,2013.14,5.92,23.38,9.99,25.01,121.52,69.1
188.25,2013.11,34.73,23.38,8.42,24.93,121.47,44.7
279.92,2012.95,33.08,23.38,6.44,25.01,121.56,72.33
159.77,2013.07,26.1,23.38,6.93,25.01,121.57,46.52
215.45,2013.05,28.3,1687.91,1.47,24.99,121.57,26.99
351.83,2013.46,13.17,463.34,7.9,24.96,121.56,32.55
1.0,2013.01,18.37,23.38,6.77,25.0,121.53,53.81
312.03,2012.91,20.84,23.38,7.05,24.99,121.55,37.24
381.29,2013.58,14.27,1345.94,4.18,24.94,121.47,32.47
308.83,2013.31,33.32,3972.74,0.26,24.93,121.48,18.58
203.28,2013.58,23.24,23.38,6.64,25.01,121.57,44.71
47.95,2013.11,11.5,1518.15,1.09,24.98,121.54,30.15
146.47,2013.1,0.0,448.09,4.88,24.99,121.47,45.28
25.28,2013.28,6.44,888.19,1.95,24.93,121.51,51.22
313.78,2013.2,24.12,23.38,8.81,25.01,121.57,57.27
38.49,2012.86,29.41,668.9,2.51,24.99,121.5,37.5
94.96,2013.36,23.15,2518.26,3.14,24.93,121.57,20.19
379.86,2013.22,3.2,512.27,3.43,25.01,121.54,52.37
414.0,2013.18,24.72,1015.83,7.92,24.93,121.5,40.22
170.06,2012.93,14.95,852.07,5.63,24.99,121.52,43.44
223.55,2013.07,29.46,23.38,6.5,25.0,121.56,39.17
138.28,2012.95,0.0,23.38,5.34,24.98,121.47,39.91
129.38,2013.28,25.98,82.97,1.53,24.96,121.57,41.97
414.0,2013.31,8.07,617.5,3.5,24.98,121.57,51.15
132.66,2012.67,13.81,23.38,10.0,25.01,121.5,53.72
36.14,2013.13,0.0,2400.16,4.89,24.93,121.55,24.21
48.14,2013.35,6.66,1519.19,2.34,24.95,121.47,38.84
325.12,2013.29,13.96,3573.34,0.0,24.94,121.54,7.6
265.14,2013.18,20.26,1509.04,3.7,24.98,121.57,40.31
283.89,2013.27,4.98,280.04,3.69,25.0,121.57,48.89
301.59,2013.16,20.92,1864.72,5.11,24.93,121.47,36.03
185.03,2012.98,17.44,2034.52,4.44,24.97,121.53,45.88
380.01,2013.16,23.13,1656.05,3.06,25.0,121.53,26.03
351.21,2013.08,13.08,1717.39,6.13,25.01,121.51,39.25
115.35,2013.58,38.51,1557.43,8.38,24.96,121.49,41.44
300.45,2013.03,9.98,150.15,8.71,24.93,121.47,41.04
349.1,2013.5,21.43,1086.97,4.11,25.01,121.5,45.06
60.99,2013.52,24.34,2071.95,4.5,24.95,121.54,53.91
252.71,2013.06,10.99,23.38,7.54,24.93,121.51,44.69
364.61,2013.32,0.0,1366.33,5.83,24.98,121.54,54.02
184.73,2012.86,15.02,1520.61,2.35,24.93,121.54,19.7
163.86,2013.3,9.33,1622.96,0.15,25.01,121.57,38.73
339.14,2013.11,23.82,398.26,3.03,24.93,121.55,44.02
336.42,2013.22,17.0,3377.3,0.16,24.93,121.5,11.77
330.67,2012.79,9.43,2234.42,0.0,24.93,121.47,8.63
370.72,2013.54,22.1,335.02,3.57,25.0,121.47,29.58
83.37,2013.24,35.71,3456.05,0.44,24.95,121.53,15.22
281.27,2013.38,31.37,2537.16,0.0,24.93,121.47,19.96
1.0,2013.17,15.07,1388.4,0.95,25.01,121.57,28.23
172.86,2013.19,25.89,1863.7,2.26,24.93,121.52,28.99
147.17,2013.53,17.08,23.38,6.03,24.99,121.57,48.43
318.96,2012.82,27.86,1936.88,4.95,25.01,121.57,24.83
414.0,2013.54,11.53,543.16,8.05,25.0,121.47,36.76
1.0,2012.86,30.43,1109.63,7.48,25.01,121.57,34.34
366.44,2013.08,18.29,2539.17,3.84,25.0,121.49,29.15
265.74,2012.97,35.11,2396.52,0.0,25.01,121.57,7.6
218.87,2013.15,3.77,23.38,4.85,25.01,121.54,49.64
263.33,2013.03,9.76,2190.25,0.0,24.96,121.56,7.6
249.43,2012.98,22.45,1077.89,6.9,24.94,121.53,35.42
108.18,2012.67,10.97,3946.71,2.51,24.98,121.57,16.17
117.93,2012.99,13.33,23.38,7.22,25.0,121.54,50.82
359.52,2012.67,0.0,2504.61,1.02,24.93,121.48,26.71
193.11,2013.06,19.0,3380.84,0.0,24.96,121.47,32.44
229.0,2012.9,10.45,473.99,3.51,24.93,121.47,49.23
196.69,2012.99,20.1,760.18,10.0,24.94,121.54,39.17
243.32,2013.16,35.93,806.04,8.26,24.99,121.55,26.94
276.79,2013.0,29.94,1914.38,4.12,25.0,121.49,29.51
123.27,2013.44,9.83,2456.88,0.0,24.93,121.56,33.03
1.0,2013.0,31.41,1026.99,4.83,25.01,121.56,35.78
370.29,2013.07,35.18,23.38,6.61,24.93,121.55,43.37
196.45,2012.76,34.32,2543.52,0.0,25.01,121.54,12.93
113.22,2013.19,18.42,23.38,5.6,24.98,121.56,35.07
183.1,2012.82,31.97,2142.67,5.41,24.97,121.47,34.82
246.54,2012.99,3.0,755.91,4.57,24.94,121.49,29.42
265.16,2013.15,13.64,1110.22,0.13,24.93,121.52,44.68
239.59,2013.23,16.15,220.4,0.56,24.97,121.53,32.91
283.06,2013.05,5.67,613.28,9.68,24.99,121.54,56.25
268.13,2013.24,26.59,720.47,7.55,24.93,121.57,35.78
414.0,2013.27,26.62,3895.39,0.0,24.93,121.47,7.6
263.38,2013.28,28.5,1558.12,5.0,24.94,121.57,30.3
215.0,2012.87,23.45,913.16,1.2,24.99,121.57,36.86
160.84,2013.06,7.75,3220.39,0.0,24.94,121.54,34.11
79.49,2012.98,35.93,1699.13,0.17,24.93,121.53,26.02
414.0,2013.09,26.92,23.38,10.0,24.98,121.57,64.6
53.5,2013.1,18.85,357.47,4.27,24.97,121.55,42.54
237.35,2013.58,10.84,23.38,4.84,24.98,121.53,48.83
200.44,2012.98,17.06,2224.27,0.0,24.93,121.51,7.6
188.46,2012.67,14.24,1522.65,4.95,25.01,121.49,45.07
112.84,2013.16,41.96,2264.56,5.4,24.98,121.47,21.06
1.0,2013.09,43.8,1148.73,4.39,24.95,121.53,26.08
276.3,2012.85,0.0,798.05,2.68,25.01,121.57,42.7
78.76,2013.07,2.54,1648.74,0.57,24.95,121.54,36.55
147.26,2013.28,40.29,681.16,5.56,24.94,121.47,42.72
64.0,2012.82,25.99,23.38,6.78,24.98,121.53,45.42
203.39,2012.77,35.18,1319.85,0.0,24.93,121.57,17.79
410.84,2013.58,11.28,2832.07,2.18,24.93,121.52,47.86
203.53,2012.67,15.09,23.38,9.6,24.95,121.53,54.59
